date,spy,nasdaq,dow,russell,ftse
2010-02-10,107.01000213623047,2147.8701171875,10038.3798828125,595.8200073242188,0.0
2010-02-11,108.12999725341797,2177.409912109375,10144.1904296875,605.4600219726562,0.0
2010-02-12,108.04000091552734,2183.530029296875,10099.1396484375,610.719970703125,0.0
2010-02-13,108.46500015258789,2191.1950073242188,10141.55712890625,613.2499847412109,0.0
2010-02-14,108.88999938964844,2198.8599853515625,10183.974609375,615.7799987792969,0.0
2010-02-15,109.31499862670898,2206.5249633789062,10226.39208984375,618.3100128173828,0.0
2010-02-16,109.73999786376953,2214.18994140625,10268.8095703125,620.8400268554688,0.0
2010-02-17,110.26000213623047,2226.2900390625,10309.240234375,624.8300170898438,0.0
2010-02-18,110.91000366210938,2241.7099609375,10392.900390625,629.3200073242188,0.0
2010-02-19,111.13999938964844,2243.8701171875,10402.349609375,631.6199951171875,0.0
2010-02-20,111.14666748046875,2243.2567545572915,10396.0263671875,631.8299967447916,0.0
2010-02-21,111.15333557128906,2242.6433919270835,10389.703125,632.0399983723959,0.0
2010-02-22,111.16000366210938,2242.030029296875,10383.3798828125,632.25,0.0
2010-02-23,109.80999755859375,2213.43994140625,10282.41015625,625.0700073242188,0.0
2010-02-24,110.81999969482422,2235.89990234375,10374.16015625,630.4299926757812,0.0
2010-02-25,110.66999816894531,2234.219970703125,10321.0302734375,630.4600219726562,0.0
2010-02-26,110.73999786376953,2238.260009765625,10325.259765625,628.5599975585938,0.0
2010-02-27,111.12333170572917,2250.030029296875,10351.4365234375,633.2566731770834,0.0
2010-02-28,111.5066655476888,2261.800048828125,10377.61328125,637.9533487955729,0.0
2010-03-01,111.88999938964844,2273.570068359375,10403.7900390625,642.6500244140625,0.0
2010-03-02,112.19999694824219,2280.7900390625,10405.98046875,648.3099975585938,0.0
2010-03-03,112.30000305175781,2280.679931640625,10396.759765625,649.260009765625,0.0
2010-03-04,112.63999938964844,2292.31005859375,10444.1396484375,652.469970703125,0.0
2010-03-05,114.25,2326.35009765625,10566.2001953125,666.02001953125,0.0
2010-03-06,114.2566655476888,2328.3033854166665,10561.639973958334,666.3833414713541,0.0
2010-03-07,114.26333109537761,2330.2566731770835,10557.079752604166,666.7466634114584,0.0
2010-03-08,114.2699966430664,2332.2099609375,10552.51953125,667.1099853515625,0.0
2010-03-09,114.45999908447266,2340.679931640625,10564.3798828125,669.6300048828125,0.0
2010-03-10,114.97000122070312,2358.949951171875,10567.330078125,674.9299926757812,0.0
2010-03-11,115.44999694824219,2368.4599609375,10611.83984375,677.219970703125,0.0
2010-03-12,115.45999908447266,2367.659912109375,10624.6904296875,676.5900268554688,0.0
2010-03-13,115.46999867757161,2365.84326171875,10630.510416666666,675.8633422851562,0.0
2010-03-14,115.47999827067058,2364.026611328125,10636.330403645834,675.1366577148438,0.0
2010-03-15,115.48999786376953,2362.2099609375,10642.150390625,674.4099731445312,0.0
2010-03-16,116.41000366210938,2378.010009765625,10685.98046875,679.5800170898438,0.0
2010-03-17,117.0999984741211,2389.090087890625,10733.669921875,683.97998046875,0.0
2010-03-18,117.04000091552734,2391.280029296875,10779.169921875,681.6099853515625,0.0
2010-03-19,115.97000122070312,2374.409912109375,10741.98046875,673.8900146484375,0.0
2010-03-20,116.17666625976562,2381.4065755208335,10756.616861979166,676.8966674804688,0.0
2010-03-21,116.38333129882812,2388.4032389322915,10771.253255208334,679.9033203125,0.0
2010-03-22,116.58999633789062,2395.39990234375,10785.8896484375,682.9099731445312,0.0
2010-03-23,117.41000366210938,2415.239990234375,10888.830078125,690.2999877929688,0.0
